Lucas Andrade, luquinha
Mariana Costa, mari
Felipe Rocha, fe
Bruna Almeida, bru
Ricardo Lopes, rico
Juliana Martins, ju
Daniel Freitas, dani
Ana Souza, aninha
Rafael Teixeira, rafa
Carla Lima, cah
Tiago Barros, titi
Paula Nogueira, pau
Gabriel Fonseca, biel
Larissa Campos, lari
Fernando Dias, nando
Priscila Leite, pri
Diego Moreira, didi
Camila Azevedo, cami
Bruno Mendes, brunex
Isabela Farias, bel
André Monteiro, deco
Tatiane Silva, tati
Pedro Cunha, peu
Yasmin Rocha, yas
Marcelo Batista, celin
Aline Correia, li
João Vitor, jv
Beatriz Tavares, bia
Leandro Torres, leo
Vanessa Ribeiro, van
Henrique Martins, hen
Érica Duarte, kika
Gustavo Rezende, guh
Natalia Soares, naty
Renato Pires, re
Sabrina Melo, sasa
César Oliveira, cesinha
Jéssica Antunes, jessy
Alex Borges, ale
Viviane Lopes, vivis
Rogério Matos, roger
Kelly Fernandes, kel
Otávio Ramos, tavinho
Fernanda Braga, nanda
Murilo Teixeira, muca
Clarissa Mendes, clari
Éverton Cardoso, vévi
Mônica Silva, moni
Tales Amaral, taleco
Rebeca Rocha, beca
Rodrigo Vasconcelos, digão
Eduardo Ferreira, eddo
Roberta Barbosa, roca
Bruno Ferreira, brbé
Roberta Castro, rori
Bruno Cavalcante, brzinho
Roberta Ferreira, rozinho
Sandra Moura, sado
João Santana, joca
Bruno Nogueira, brri
Eduardo Ferreira, edna
Ana Ferreira, anbé
Patrícia Nogueira, paca
Ana Lima, anri
Eduardo Nogueira, edna
Vinícius Barbosa, vibé
Lúcia Ferreira, lúleo
Sandra Lima, sabé
Eduardo Ferreira, edca
Eduardo Araújo, edbé
Roberta Castro, robé
Sandra Moura, sari
Lúcia Santana, lúbé
João Cavalcante, jobé
João Barbosa, jodo
João Lima, jona
Lúcia Nogueira, lúleo
João Ferreira, joleo
Bruno Castro, brbé
Eduardo Cavalcante, edri
Eduardo Castro, edna
Eduardo Barbosa, edna
Ana Pereira, ando
Carlos Moura, cazinho
Carlos Barbosa, cado
João Pereira, jona
Bruno Santana, brbé
Bruno Lima, brna
Patrícia Pereira, pana
João Cavalcante, jori
Vinícius Castro, vizinho
Sandra Araújo, saleo
Bruno Cavalcante, brzinho
Lúcia Nogueira, lúri
Lúcia Castro, lúri
Bruno Pereira, brca
Lúcia Ferreira, lúca
Lúcia Nogueira, lúdo
Carlos Pereira, cado
Carlos Araújo, cado
